cell,cohort,variant,accuracy,completed_supervised,completed_sft,completed_rft,completed_training_cards,aborted_full_intent_known,training_card_wall_h,manual_heldout_exposure,result_dir,manifest,spec
c02r01,R1 B-v2,Control,0.7384382107657316,5,3,2,5,0,5.51,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c02r02,R1 B-v2,Control,0.6929492039423806,3,2,1,3,0,4.73,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c02r03,R1 B-v2,Control,0.7399545109931767,4,2,2,3,0,3.45,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c02r04,R1 B-v2,Control,0.7536012130401819,4,2,2,3,0,5.42,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c02r05,R1 B-v2,Control,0.6739954510993177,4,3,1,4,0,5.75,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c04r01,R1 B-v3,Control,0.8081880212282032,4,4,0,4,1,8.15,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c04r02,R1 B-v3,Control,0.7634571645185747,5,4,1,5,2,5.78,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c04r03,R1 B-v3,Control,0.7232752084912812,4,3,1,4,1,4.58,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c04r04,R1 B-v3,Control,0.7589082638362395,4,3,1,3,0,4.27,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
c03r04,R1 C-v2,Control,0.7103866565579985,3,2,1,3,0,4.99,False,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md
