cell,card,completed_supervised,completed_sft,family,n,score,evaluation_scope,final_judge_score,path
c02r01,exp-01,0,0,other,200,0.06,declared_official,False,/home/ben/task/eval/exp-01_base_n200.json
c02r01,exp-02,1,1,sft,200,0.465,declared_official,False,/home/ben/task/eval/exp-02_n200.json
c02r01,exp-03,1,1,decode-config,200,0.635,declared_official,False,/home/ben/task/eval/exp-03_n200.json
c02r01,exp-04,2,2,sft,200,0.725,declared_official,False,/home/ben/task/eval/exp-04-e2.json
c02r01,exp-04,2,2,sft,200,0.675,declared_official,False,/home/ben/task/eval/exp-04-e1.json
c02r01,exp-05,3,2,rft,200,0.76,declared_official,False,/home/ben/task/eval/exp-05-e2.json
c02r01,exp-06,4,3,sft,200,0.715,declared_official,False,/home/ben/task/eval/exp-06-e1.json
c02r01,exp-07,4,3,other,600,0.7317,declared_official,False,/home/ben/task/eval/exp-07_exp06_n600.json
c02r01,exp-07,4,3,other,600,0.7083,declared_official,False,/home/ben/task/eval/exp-07_exp05_n600.json
c02r01,exp-08,4,3,merge,600,0.7233,declared_official,False,/home/ben/task/eval/exp-08_soup_n600.json
c02r01,exp-09,5,3,rft,600,0.7167,declared_official,False,/home/ben/task/eval/exp-09_n600.json
c02r01,exp-10,5,3,other,150,0.7267,declared_official,False,/home/ben/task/eval/exp-10_final_model_default.json
c02r01,FINAL,5,3,official_final,1319,0.7384382107657316,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/metrics.json
c02r02,exp-01,0,0,decode-config,150,0.0667,declared_official,False,/home/ben/task/eval/base_dev150.json
c02r02,exp-02,1,1,sft,150,0.5333,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c02r02,exp-03,1,1,decode-config,150,0.6733,declared_official,False,/home/ben/task/eval/exp-03_dev150.json
c02r02,exp-04,2,1,rft,150,0.7,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c02r02,exp-05,3,2,sft,150,0.7267,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c02r02,exp-06,3,2,decode-config,500,0.706,declared_official,False,/home/ben/task/eval/exp-04_dev500.json
c02r02,exp-06,3,2,decode-config,500,0.704,declared_official,False,/home/ben/task/eval/exp-05_dev500.json
c02r02,exp-07,3,2,merge,500,0.706,declared_official,False,/home/ben/task/eval/exp-07_dev500.json
c02r02,exp-08,3,2,other,150,0.7467,declared_official,False,/home/ben/task/eval/final_model_default.json
c02r02,FINAL,3,2,official_final,1319,0.6929492039423806,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615/metrics.json
c02r03,exp-01,0,0,decode-config,150,0.0933,declared_official,False,/home/ben/task/eval/base_dev150.json
c02r03,exp-02,1,1,sft,150,0.7333,declared_official,False,/home/ben/task/eval/exp02_dev150.json
c02r03,exp-03,3,1,rft,150,0.7267,declared_official,False,/home/ben/task/eval/exp03_dev150.json
c02r03,exp-04,3,1,merge,150,0.7533,declared_official,False,/home/ben/task/eval/exp04_dev150.json
c02r03,exp-05,4,2,sft,150,0.7533,declared_official,False,/home/ben/task/eval/exp05_dev150.json
c02r03,exp-06,4,2,merge,150,0.7067,declared_official,False,/home/ben/task/eval/exp06_dev150.json
c02r03,exp-07,4,2,decode-config,500,0.732,declared_official,False,/home/ben/task/eval/exp04_dev500.json
c02r03,exp-07,4,2,decode-config,500,0.726,declared_official,False,/home/ben/task/eval/exp05_dev500.json
c02r03,exp-08,4,2,merge,500,0.718,declared_official,False,/home/ben/task/eval/exp08_dev500.json
c02r03,exp-09,4,2,decode-config,150,0.76,declared_official,False,/home/ben/task/eval/final_model_default150.json
c02r03,exp-10,4,2,decode-config,500,0.736,declared_official,False,/home/ben/task/eval/exp02_dev500.json
c02r03,exp-10,4,2,decode-config,500,0.738,declared_official,False,/home/ben/task/eval/exp03_dev500.json
c02r03,exp-11,4,2,decode-config,150,0.7067,declared_official,False,/home/ben/task/eval/final_model_exp03_default150.json
c02r03,exp-12,4,2,decode-config,150,0.76,declared_official,False,/home/ben/task/eval/final_model_confirm150.json
c02r03,FINAL,4,2,official_final,1319,0.7399545109931767,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616/metrics.json
c02r04,exp-01,0,0,other,150,0.06,declared_official,False,/home/ben/task/eval/base_dev150.json
c02r04,exp-02,1,1,sft,150,0.7,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c02r04,exp-03,1,1,decode-config,150,0.72,declared_official,False,/home/ben/task/eval/exp-03_dev150.json
c02r04,exp-04,2,2,sft,150,0.7333,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c02r04,exp-05,4,2,rft,150,0.76,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c02r04,exp-06,4,2,other,500,0.772,declared_official,False,/home/ben/task/eval/final_model_dev500.json
c02r04,exp-06,4,2,other,500,0.772,declared_official,False,/home/ben/task/eval/exp-04_dev500.json
c02r04,exp-07,4,2,merge,500,0.782,declared_official,False,/home/ben/task/eval/exp-07_dev500.json
c02r04,exp-07,4,2,merge,1319,0.7513,declared_official,False,/home/ben/task/eval/final_soup_full.json
c02r04,exp-07,4,2,merge,1319,0.7582,declared_official,False,/home/ben/task/eval/exp-05_full.json
c02r04,FINAL,4,2,official_final,1319,0.7536012130401819,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617/metrics.json
c02r05,exp-01,0,0,decode-config,150,0.0667,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c02r05,exp-02,1,1,sft,150,0.5533,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c02r05,exp-03,1,1,decode-config,150,0.6933,declared_official,False,/home/ben/task/eval/exp-03_greedy_dev150.json
c02r05,exp-04,2,1,rft,150,0.6533,declared_official,False,/home/ben/task/eval/exp-04_greedy_dev150.json
c02r05,exp-05,2,1,merge,500,0.676,declared_official,False,/home/ben/task/eval/exp-05_soup_dev500.json
c02r05,exp-06,3,2,sft,500,0.686,declared_official,False,/home/ben/task/eval/exp-06_greedy_dev500.json
c02r05,exp-07,4,3,sft,500,0.696,declared_official,False,/home/ben/task/eval/exp-07_greedy_dev500.json
c02r05,exp-08,4,3,decode-config,1000,0.682,declared_official,False,/home/ben/task/eval/exp-07greedy_dev1000.json
c02r05,exp-08,4,3,decode-config,150,0.7133,declared_official,False,/home/ben/task/eval/final_model_dev150.json
c02r05,FINAL,4,3,official_final,1319,0.6739954510993177,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618/metrics.json
c04r01,exp-01,0,0,other,150,0.07333333333333333,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c04r01,exp-02,1,1,sft,150,0.6933333333333334,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c04r01,exp-04,2,2,sft,150,0.7466666666666667,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c04r01,exp-05,3,3,sft,150,0.8066666666666666,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c04r01,exp-06,4,4,sft,150,0.8,declared_official,False,/home/ben/task/eval/exp-06_dev150.json
c04r01,FINAL,4,4,official_final,1319,0.8081880212282032,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684/metrics.json
c04r02,exp-01,0,0,other,150,0.0533,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c04r02,exp-02,1,1,sft,150,0.46,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c04r02,exp-03,2,2,sft,150,0.5867,declared_official,False,/home/ben/task/eval/exp-03_dev150.json
c04r02,exp-04,2,2,decode-config,150,0.6867,declared_official,False,/home/ben/task/eval/exp-04_greedy_dev150.json
c04r02,exp-05,3,3,sft,150,0.78,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c04r02,exp-07,4,4,sft,150,0.7667,declared_official,False,/home/ben/task/eval/exp-07_dev150.json
c04r02,exp-08,5,4,rft,150,0.7933,declared_official,False,/home/ben/task/eval/exp-08_dev150.json
c04r02,exp-09,5,4,other,500,0.78,declared_official,False,/home/ben/task/eval/exp-09_exp08_dev500.json
c04r02,exp-09,5,4,other,500,0.76,declared_official,False,/home/ben/task/eval/exp-09_exp05_dev500.json
c04r02,FINAL,5,4,official_final,1319,0.7634571645185747,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685/metrics.json
c04r03,exp-01,0,0,other,150,0.02666666666666667,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c04r03,exp-02,1,1,sft,150,0.6866666666666666,declared_official,False,/home/ben/task/eval/exp-02_dev150.json
c04r03,exp-03,2,1,rft,150,0.7066666666666667,declared_official,False,/home/ben/task/eval/exp-03_dev150.json
c04r03,exp-04,2,1,merge,150,0.6866666666666666,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c04r03,exp-05,3,2,sft,150,0.7466666666666667,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c04r03,exp-06,4,3,sft,150,0.74,declared_official,False,/home/ben/task/eval/exp-06_dev150.json
c04r03,exp-07,4,3,merge,150,0.7133333333333334,declared_official,False,/home/ben/task/eval/exp-07_dev150.json
c04r03,FINAL,4,3,official_final,1319,0.7232752084912812,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686/metrics.json
c04r04,exp-01,0,0,other,150,0.0867,declared_official,False,/home/ben/task/eval/exp-01_base_dev150.json
c04r04,exp-02,1,1,sft,150,0.6667,declared_official,False,/home/ben/task/eval/exp-02_final_dev150.json
c04r04,exp-03,1,1,decode-config,150,0.78,declared_official,False,/home/ben/task/eval/exp-03_greedy_dev150.json
c04r04,exp-04,2,1,rft,150,0.7533,declared_official,False,/home/ben/task/eval/exp-04_greedy_dev150.json
c04r04,exp-05,2,1,other,500,0.772,declared_official,False,/home/ben/task/eval/exp-05_exp03_dev500.json
c04r04,exp-05,2,1,other,500,0.77,declared_official,False,/home/ben/task/eval/exp-05_exp04_dev500.json
c04r04,exp-06,2,1,merge,150,0.7867,declared_official,False,/home/ben/task/eval/exp-06_soup_dev150.json
c04r04,exp-06,2,1,merge,500,0.782,declared_official,False,/home/ben/task/eval/exp-06_soup_dev500.json
c04r04,exp-07,2,1,other,500,0.8,declared_official,False,/home/ben/task/analysis/exp-07_prefix_probe.json
c04r04,exp-08,2,1,other,1319,0.7582,declared_official,False,/home/ben/task/eval/exp-08_final_model_full.json
c04r04,exp-09,4,3,sft,819,0.7399,declared_official,False,/home/ben/task/analysis/exp-09_probe_holdout.json
c04r04,FINAL,4,3,official_final,1319,0.7589082638362395,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687/metrics.json
c03r04,exp-01,0,0,other,150,0.03333,declared_official,False,/home/ben/task/eval/base_dev150.json
c03r04,exp-02,1,1,sft,150,0.69333,declared_official,False,/home/ben/task/eval/exp02_final_dev150.json
c03r04,exp-03,1,1,decode-config,150,0.7,declared_official,False,/home/ben/task/eval/exp03_greedy_dev150.json
c03r04,exp-04,2,1,rft,150,0.69333,declared_official,False,/home/ben/task/eval/exp04_final_greedy_dev150.json
c03r04,exp-04,2,1,rft,150,0.66,declared_official,False,/home/ben/task/eval/exp04_c652_greedy_dev150.json
c03r04,exp-05,2,1,merge,150,0.69333,declared_official,False,/home/ben/task/eval/exp05_soup_dev150.json
c03r04,exp-06,2,1,other,500,0.724,declared_official,False,/home/ben/task/eval/exp06_exp04_dev500.json
c03r04,exp-06,2,1,other,500,0.714,declared_official,False,/home/ben/task/eval/exp06_soup_dev500.json
c03r04,exp-06,2,1,other,500,0.71,declared_official,False,/home/ben/task/eval/exp06_exp02_dev500.json
c03r04,exp-07,2,1,other,1319,0.7066,declared_official,False,/home/ben/task/eval/exp07_exp04_dev1319.json
c03r04,exp-07,2,1,other,1319,0.7066,declared_official,False,/home/ben/task/eval/exp07_soup_dev1319.json
c03r04,exp-07,2,1,other,1319,0.69826,declared_official,False,/home/ben/task/eval/exp07_exp02_dev1319.json
c03r04,exp-08,3,2,sft,1319,0.71039,declared_official,False,/home/ben/task/eval/exp08_dev1319.json
c03r04,exp-08,3,2,sft,150,0.7,declared_official,False,/home/ben/task/eval/final_model_default_args.json
c03r04,FINAL,3,2,official_final,1319,0.7103866565579985,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786/metrics.json
c03r05,exp-01,0,0,other,150,0.05333,declared_official,False,/home/ben/task/eval/base_dev150.json
c03r05,exp-02,1,1,sft,150,0.71333,declared_official,False,/home/ben/task/eval/exp-02_final_dev150.json
c03r05,exp-02,1,1,sft,150,0.68,declared_official,False,/home/ben/task/eval/exp-02_ep1_dev150.json
c03r05,exp-03,2,1,rft,150,0.71333,declared_official,False,/home/ben/task/eval/exp-03_final_dev150.json
c03r05,exp-05,3,2,sft,150,0.69333,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c03r05,exp-06,3,2,merge,150,0.71333,declared_official,False,/home/ben/task/eval/soup23_dev150.json
c03r05,exp-07,3,2,other,500,0.74,declared_official,False,/home/ben/task/eval/exp-03_dev500.json
c03r05,exp-07,3,2,other,500,0.74,declared_official,False,/home/ben/task/eval/soup23_dev500.json
c03r05,exp-08,3,2,merge,500,0.748,declared_official,False,/home/ben/task/eval/soup35_dev500.json
c03r05,FINAL,3,2,official_final,1319,0.7414708112206216,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787/metrics.json
c03r06,exp-01,0,0,other,150,0.0333,declared_official,False,/home/ben/task/eval/base_dev150.json
c03r06,exp-02,1,1,sft,150,0.6,declared_official,False,/home/ben/task/eval/exp-02_final_dev150.json
c03r06,exp-03,1,1,decode-config,150,0.6867,declared_official,False,/home/ben/task/eval/exp-03_greedy_dev150.json
c03r06,exp-04,2,1,rft,150,0.6933,declared_official,False,/home/ben/task/eval/exp-04_dev150.json
c03r06,exp-05,3,2,sft,150,0.64,declared_official,False,/home/ben/task/eval/exp-05_dev150.json
c03r06,exp-06,3,2,merge,150,0.6867,declared_official,False,/home/ben/task/eval/exp-06_soup_dev150.json
c03r06,exp-07,3,2,other,500,0.67,declared_official,False,/home/ben/task/eval/exp-06_soup_dev500.json
c03r06,exp-07,3,2,other,500,0.66,declared_official,False,/home/ben/task/eval/exp-04_dev500.json
c03r06,FINAL,3,2,official_final,1319,0.6497346474601972,official_final,True,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788/metrics.json
