cell,card,family,execution,completed_fits,completed_sft,completed_rft,completed_supervised,aborted_full_intent,self_sample_mix,elapsed_h,card_wall_h,cumulative_training_card_wall_h,training_steps,epochs,rows,decision,count_audited,audit_note,source
c02r01,exp-01,other,completed,0,0,0,0,0,,0.15,0.13,0.0,,,1.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-01.yaml
c02r01,exp-02,sft,completed,1,1,0,1,0,False,0.35,0.13,0.13,235,1.0,15000.0,adopt,True,"Deliberate scored 15k-row full-parameter pilot reaches its planned epoch; count as1 completed schedule, not an unscored pipeline smoke.",/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-02.yaml
c02r01,exp-03,decode-config,completed,0,1,0,1,0,,0.6,0.09,0.13,,,15000.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-03.yaml
c02r01,exp-04,sft,completed,1,2,0,2,0,,0.7,2.39,2.52,4430,2.0,141953.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-04.yaml
c02r01,exp-05,rft,completed,1,2,1,3,0,,3.8,0.97,3.49,1810,2.0,57949.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-05.yaml
c02r01,exp-06,sft,completed,1,3,1,4,0,True,4.8,1.5,4.99,2743,1.0,175876.0,reject,True,family=sft but input corpus explicitly contains retained self-generated/rejection-sampled rows; preserve raw family and flag mixture.,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-06.yaml
c02r01,exp-07,other,completed,0,3,1,4,0,,6.5,0.35,4.99,,,1.0,iterate,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-07.yaml
c02r01,exp-08,merge,completed,0,3,1,4,0,,6.6,0.25,4.99,,,1.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-08.yaml
c02r01,exp-09,rft,completed,1,3,2,5,0,,7.1,0.52,5.51,834,1.0,53395.0,reject,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-09.yaml
c02r01,exp-10,other,completed,0,3,2,5,0,,7.6,0.25,5.51,,,1.0,adopt,False,,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614/task/memory/cards/exp-10.yaml
