[data] data/sft_v1.jsonl: kept 65997, dropped 2 over 3328 tok (0.00%); p50=340 p99=2516 max=3319; total=34.7M tokens
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3ForConditionalGeneration is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3Model is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in SiglipVisionModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3TextModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.23it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.51it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.46it/s]
[model] trainable 3.88B, frozen 0.42B
[plan] 4544 micro-batches/epoch, accum=8, 568 optimiser steps
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
[1/568] loss=0.5876 gn=10.96 lr=5.88e-07 tok/s=8834 elapsed=0.1m eta=64.7m mem=54.5G
[10/568] loss=0.4738 gn=4.30 lr=5.88e-06 tok/s=9380 elapsed=1.1m eta=60.9m mem=62.8G
[20/568] loss=0.3895 gn=1.71 lr=1.00e-05 tok/s=9392 elapsed=2.2m eta=59.9m mem=63.8G
[30/568] loss=0.3553 gn=1.48 lr=9.99e-06 tok/s=9444 elapsed=3.2m eta=58.3m mem=63.8G
[40/568] loss=0.3583 gn=1.56 lr=9.96e-06 tok/s=9432 elapsed=4.3m eta=57.2m mem=63.8G
[50/568] loss=0.3592 gn=1.34 lr=9.92e-06 tok/s=9437 elapsed=5.4m eta=56.1m mem=64.0G
[60/568] loss=0.3389 gn=1.27 lr=9.86e-06 tok/s=9436 elapsed=6.5m eta=55.0m mem=64.0G
[70/568] loss=0.3338 gn=1.20 lr=9.80e-06 tok/s=9441 elapsed=7.6m eta=53.9m mem=65.1G
[80/568] loss=0.3379 gn=1.87 lr=9.71e-06 tok/s=9442 elapsed=8.7m eta=52.8m mem=65.1G
[90/568] loss=0.3445 gn=1.54 lr=9.61e-06 tok/s=9430 elapsed=9.7m eta=51.7m mem=65.1G
[100/568] loss=0.3384 gn=1.43 lr=9.50e-06 tok/s=9432 elapsed=10.8m eta=50.6m mem=65.1G
[110/568] loss=0.3343 gn=1.64 lr=9.38e-06 tok/s=9429 elapsed=11.9m eta=49.5m mem=65.1G
[120/568] loss=0.3691 gn=1.03 lr=9.24e-06 tok/s=9427 elapsed=13.0m eta=48.4m mem=65.1G
[130/568] loss=0.3279 gn=1.25 lr=9.09e-06 tok/s=9423 elapsed=14.1m eta=47.4m mem=65.1G
