[data] data/sft_v1.jsonl: kept 3000, dropped 2 over 3328 tok (0.07%); p50=2373 p99=2943 max=3319; total=7.2M tokens
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3ForConditionalGeneration is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3Model is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in SiglipVisionModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3TextModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.20it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.54it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.48it/s]
[model] trainable 3.88B, frozen 0.42B
[plan] 3000 micro-batches/epoch, accum=8, 375 optimiser steps
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
[1/375] loss=0.7042 gn=12.04 lr=9.09e-07 tok/s=5858 elapsed=0.1m eta=20.2m mem=43.3G
[10/375] loss=0.4534 gn=7.50 lr=9.09e-06 tok/s=6444 elapsed=0.5m eta=18.1m mem=52.9G
[20/375] loss=0.4252 gn=5.25 lr=9.99e-06 tok/s=6513 elapsed=1.0m eta=17.4m mem=52.9G
[30/375] loss=0.4516 gn=5.79 lr=9.94e-06 tok/s=6532 elapsed=1.5m eta=16.9m mem=53.4G
[40/375] loss=0.4217 gn=4.84 lr=9.86e-06 tok/s=6548 elapsed=2.0m eta=16.4m mem=53.4G
[50/375] loss=0.3976 gn=3.80 lr=9.75e-06 tok/s=6557 elapsed=2.4m eta=15.8m mem=53.4G
[60/375] loss=0.4201 gn=4.07 lr=9.60e-06 tok/s=6576 elapsed=2.9m eta=15.4m mem=54.0G
[70/375] loss=0.3881 gn=4.60 lr=9.43e-06 tok/s=6572 elapsed=3.4m eta=14.9m mem=54.0G
[80/375] loss=0.4466 gn=4.51 lr=9.22e-06 tok/s=6580 elapsed=3.9m eta=14.4m mem=54.0G
[90/375] loss=0.3913 gn=3.48 lr=8.99e-06 tok/s=6584 elapsed=4.4m eta=13.9m mem=54.0G
[100/375] loss=0.4697 gn=4.25 lr=8.73e-06 tok/s=6587 elapsed=4.9m eta=13.4m mem=54.0G
[110/375] loss=0.4066 gn=4.28 lr=8.44e-06 tok/s=6584 elapsed=5.4m eta=12.9m mem=54.0G
[120/375] loss=0.4469 gn=6.41 lr=8.13e-06 tok/s=6590 elapsed=5.8m eta=12.4m mem=54.9G
[130/375] loss=0.4265 gn=4.18 lr=7.80e-06 tok/s=6591 elapsed=6.3m eta=11.9m mem=54.9G
